left_wrist_distance,right_wrist_distance,left_wrist_acceleration,right_wrist_acceleration,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,head_x,head_y,left_status,left_angle,left_direction,left_count,right_status,right_angle,right_direction,right_count
1906.3932655605224,2045.1490878315226,26.357032648055373,30.409005731247248,975.4023,581.3418,774.46515,704.3517,955.3239,634.96716,760.5648,677.97394,892.52875,645.5957,787.9765,647.3495,838.43744,610.4013,PARTIALLY BENT,120.13354,up,4,PARTIALLY BENT,110.38058,up,7
1911.8831454435722,2072.0765863451675,23.451496992527538,30.541510674653395,977.79974,586.2805,759.88074,726.9876,957.85785,637.63477,738.05914,691.67413,893.9219,640.0296,786.1266,648.7674,826.56104,596.3932,PARTIALLY BENT,113.3673,up,4,PARTIALLY BENT,100.039696,up,7
1944.1681867476311,2139.3394024567488,22.17198848167047,32.54449772748037,995.1294,613.5203,725.8343,668.9779,953.66095,644.6366,700.2272,653.9386,894.423,639.9161,782.73364,640.86646,832.1274,582.35077,PARTIALLY BENT,138.56076,up,4,FULLY BENT,39.42911,up,8
1975.7913180944079,2168.4086488964845,21.163352524821235,31.46819621705044,1008.0405,642.3877,754.0201,676.09,965.369,648.49036,690.0073,640.74963,895.6068,631.0607,770.7234,631.3003,829.36523,586.13293,PARTIALLY BENT,157.83322,up,4,FULLY BENT,35.579517,up,8
2028.64515551167,2206.139899126657,23.136499624294007,32.52304672814789,1019.71515,693.93604,733.6961,644.30035,981.68225,665.3474,668.5523,629.9762,902.73706,632.51556,767.9547,621.0368,837.84125,582.19556,STRAIGHT,165.65001,down,4,FULLY BENT,17.539991,up,8
2044.7520581770502,2242.7300064180613,22.528627452040805,33.30744608940066,1022.884,709.72815,724.9787,608.76385,971.4971,676.0511,659.5939,628.8796,904.5974,630.2688,763.042,621.0838,834.0451,571.9115,STRAIGHT,178.85414,up,4,FULLY BENT,12.790954,down,8
2076.1944697629133,2274.6613047933038,24.157904942582757,34.38689460340231,992.8301,700.48755,720.8717,577.0978,972.5958,661.2857,658.5249,622.4823,908.9874,622.09717,760.78613,621.521,839.32434,561.8852,PARTIALLY BENT,148.9376,down,4,FULLY BENT,35.513657,down,8
2084.833761063937,2295.4380649118852,24.302519756118464,35.4356478041125,1001.0104,703.26605,717.11975,556.6626,974.23004,655.9312,668.2713,614.2729,904.77374,616.41833,763.7312,618.7877,836.306,558.6176,PARTIALLY BENT,149.13464,down,4,FULLY BENT,52.412807,down,8
2114.7608915686073,2309.421009941594,25.158959318364996,34.54064376389513,978.34357,683.7251,712.9855,543.3048,955.79535,642.5653,690.0704,613.7862,895.73975,613.6709,768.0562,620.41406,838.30756,560.93896,PARTIALLY BENT,144.40836,down,4,FULLY BENT,76.84726,down,8
2130.475463337726,2315.3075287443976,23.44645742495893,31.22313106753592,968.36505,695.865,718.871,543.4144,945.1304,649.78876,701.96564,615.65375,889.42847,616.6566,765.1905,622.2417,831.202,562.70593,PARTIALLY BENT,147.50493,down,4,FULLY BENT,82.777435,down,8
2182.2849290277713,2339.700673080244,23.602462202871358,26.838403753843533,938.7653,653.3435,716.29755,567.67145,947.38586,623.2413,718.25903,626.24915,880.6071,611.081,770.05884,627.6398,824.64777,566.1833,FULLY BENT,84.33994,down,5,PARTIALLY BENT,93.45564,down,8
2204.157827050727,2381.4664873830075,23.353885745191178,28.151498154179237,941.5621,631.65015,719.4885,609.3152,943.2867,622.3145,733.3986,647.57367,877.16455,610.54156,781.017,625.24164,823.1159,567.8434,FULLY BENT,89.62914,down,5,FULLY BENT,84.85476,down,9
2217.9335487301946,2433.3813822751385,22.9093893124456,30.741358031446623,942.74695,617.9255,739.0182,657.4166,949.3852,624.0212,747.8732,676.4349,873.8595,612.8665,784.1377,627.7579,820.78644,574.75336,FULLY BENT,34.158855,up,5,FULLY BENT,61.653225,down,9
2244.1251859891777,2490.8374781052703,23.483197548247563,33.73208646706986,949.8159,592.7058,750.534,713.70685,974.07556,624.59814,751.02246,686.6027,878.6362,610.5054,766.01404,631.2396,820.4105,575.51166,FULLY BENT,44.341003,up,5,STRAIGHT,165.88087,up,9
2251.2163150695073,2511.456339500363,23.30308006125017,33.09041925894716,949.07434,585.65356,763.13885,730.0242,971.4879,633.79517,739.62634,697.2681,874.0391,619.9589,753.3851,636.2276,815.296,579.5337,FULLY BENT,56.95333,up,5,PARTIALLY BENT,131.62657,up,9
2257.903876831332,2527.96384920001,23.43404075138732,32.187650757899156,951.1005,579.28033,779.4656,732.4606,974.03876,631.2038,733.8967,700.5438,874.474,628.916,756.7546,645.34534,810.47754,587.88025,FULLY BENT,64.84929,up,5,PARTIALLY BENT,102.513084,up,9
2263.657166041682,2538.6066150970832,23.451601373207346,31.10200191679438,956.4148,581.4846,775.57587,722.5541,965.6258,627.4012,731.27985,698.52814,876.10254,627.47266,762.14575,648.1354,811.2552,594.5778,FULLY BENT,78.70259,up,5,FULLY BENT,86.98743,up,10
2269.192440474695,2570.3884531503063,21.668283581804292,28.73660337957049,950.96265,582.4403,744.7632,714.7654,952.52747,631.2694,705.592,675.14404,867.3835,625.8626,759.1282,637.63983,809.42816,595.5869,FULLY BENT,84.53096,up,5,FULLY BENT,80.34007,up,10
2279.445064474817,2603.3198589501126,20.243583092027315,28.99408067024187,957.4913,590.3456,712.78894,706.8834,950.4178,642.0316,700.2104,669.32513,866.38605,633.3688,760.8307,634.50775,801.0214,592.4912,PARTIALLY BENT,91.90695,up,5,PARTIALLY BENT,101.3549,up,10
2301.603269179159,2610.275906654619,18.19720757783262,26.94240050186414,961.9089,612.05896,718.94977,710.1131,939.8679,647.10974,692.3105,670.5138,865.0165,632.9158,761.1913,634.30347,806.19525,593.8292,PARTIALLY BENT,111.425446,up,5,FULLY BENT,83.80115,up,11
2329.5985749801616,2643.3349948313034,18.989767786874115,26.706999227549446,976.9221,635.6882,714.0606,677.41754,934.6148,662.4797,705.4741,657.05493,873.0974,638.51807,762.15875,632.34564,808.1966,600.91235,PARTIALLY BENT,126.37419,up,5,PARTIALLY BENT,90.68864,up,11
2366.5198016293975,2659.4232998024863,19.355022124432306,25.6507996672788,975.05695,672.56226,729.9095,674.6523,920.69556,668.05505,700.5726,637.57983,867.13135,643.72595,759.5208,630.89386,804.06116,606.84686,STRAIGHT,160.31187,up,5,FULLY BENT,58.114914,up,12
2409.6132691711805,2682.8632631111514,21.651967207149585,25.82834654661773,1002.64197,705.66986,725.99817,651.54095,944.3108,682.43933,684.2005,629.15643,874.316,649.2073,759.2724,628.91656,807.87964,605.28955,STRAIGHT,176.31755,up,5,FULLY BENT,28.354105,up,12
2419.713786310752,2745.3877651023763,20.330192982809624,29.06445034405214,1000.611,715.5641,677.5153,612.06024,945.1033,686.0265,659.76807,638.6111,887.92145,646.13556,751.2215,635.70703,811.8527,600.0967,STRAIGHT,173.11868,up,5,FULLY BENT,54.421448,down,12
